timestamp,open,high,low,close,volume,ltq,bid_price,ask_price,bid_quantity,ask_quantity,bid_ask_imbalance,ltq_change,price_change,volume_change
2026-08-11 09:15:00,100.08180257005054,100.28480612495976,99.86695532418516,100.1241785382528,104418,3419,100.11233430062974,100.16528116961237,811483,1043587,-0.12511872867331153,,,
2026-08-11 09:16:00,100.16174874394002,100.25859975199951,99.92234423551841,100.20709015477841,404308,8396,100.17913311709731,100.27753182047633,1480550,906713,0.24037443716926035,4977.0,0.08291161652560675,299890.0
2026-08-11 09:17:00,100.30679185590468,100.52225994589041,100.47699381627048,100.48635617316768,101986,3628,100.43600195157639,100.52509594581225,1764456,1116172,0.22504953780911663,-4768.0,0.279266018389265,-302322.0
2026-08-11 09:18:00,100.95118109166128,101.0313280997809,100.62857647009616,100.98419011083142,329722,8309,100.91673053587124,100.99791285290516,1307673,559482,0.40071177807948455,4681.0,0.4978339376637422,227736.0
2026-08-11 09:19:00,101.11561054712907,101.33376231954291,100.68613048797039,101.04232763894689,138593,1685,101.01322709498119,101.06797571539175,1319866,554826,0.4080883686493568,-6624.0,0.05813752811546635,-191129.0
2026-08-11 09:20:00,100.97251288187866,101.12576718170084,101.04220120619739,101.09993609378634,396127,3756,101.00610973843249,101.13326097549958,1736379,1898829,-0.04468795183109192,2071.0,0.057608454839453316,257534.0
2026-08-11 09:21:00,101.71506532232348,101.77868049470044,101.32509733599552,101.61021705721842,212194,6023,101.5423855761002,101.63606133041264,1328324,1153153,0.07059142599347082,2267.0,0.5102809634320806,-183933.0
2026-08-11 09:22:00,101.96553531133716,102.29335768018585,101.63257723801084,101.91675782922873,460692,5835,101.82778895382265,101.94509303964143,1160498,1103746,0.025064436518325763,-188.0,0.30654077201030816,248498.0
2026-08-11 09:23:00,101.839722807326,102.0603202227808,101.5719209294279,101.9131461395231,225605,2972,101.87350752580058,101.99235226418371,1924861,1613066,0.08812929153145331,-2863.0,-0.0036116897056217567,-235087.0
2026-08-11 09:24:00,102.14733681837318,102.54314382069703,102.11879093603942,102.16148978210695,409031,1710,102.07688392801936,102.20857281006249,755922,1549448,-0.34420765430278005,-1262.0,0.24834364258384767,183426.0
2026-08-11 09:25:00,102.31699142158087,102.5298927599203,101.84390758718372,102.15715924081677,373387,9516,102.11311951129582,102.20362537283688,700748,1629906,-0.39866835660720124,7806.0,-0.004330541290187284,-35644.0
