entry_time,exit_time,signal,entry_price,exit_price,ai_probability,decision,pnl,pnl_pct
2026-08-11 12:08:00,2026-08-11 12:18:00,BUY,101.42641139441838,102.78216491109744,0.7956666666666666,ACCEPT,1.3557535166790586,1.3366868629581303
2026-08-11 15:50:00,2026-08-11 16:00:00,SELL,98.9557358122979,97.9998147156662,0.8894166666666667,ACCEPT,0.9559210966316982,0.9660087803752144
2026-08-11 17:10:00,2026-08-11 17:20:00,BUY,100.0064879026742,101.2179989168978,0.7652619047619047,ACCEPT,1.2115110142236034,1.2114324176673816
2026-08-11 18:35:00,2026-08-11 18:45:00,SELL,98.953461733126,98.10906885251916,0.680857142857143,ACCEPT,0.844392880606847,0.8533232347991471
2026-08-11 19:33:00,2026-08-11 19:43:00,BUY,101.56834140126864,103.1586560475414,0.939392857142857,ACCEPT,1.590314646272759,1.5657582119903508
2026-08-11 21:06:00,2026-08-11 21:16:00,SELL,99.19654987538904,97.96147856235145,0.708857142857143,ACCEPT,1.2350713130375937,1.2450748686210291
2026-08-12 00:20:00,2026-08-12 00:30:00,BUY,99.67122750136689,101.05255534190756,0.8614285714285717,ACCEPT,1.3813278405406777,1.385884246807068
2026-08-12 09:02:00,2026-08-12 09:12:00,BUY,111.91290400479012,113.31664161835492,0.7571428571428572,ACCEPT,1.4037376135648003,1.2543125621194828
2026-08-12 15:27:00,2026-08-12 15:37:00,SELL,118.72484483574624,116.56606434004964,0.8388809523809525,ACCEPT,2.158780495696604,1.8183055944888697
2026-08-12 17:26:00,2026-08-12 17:36:00,BUY,119.23843325138492,119.69898773451727,0.6146190476190476,ACCEPT,0.4605544831323556,0.3862466744773388
2026-08-13 02:59:00,2026-08-13 03:09:00,BUY,119.9080227385368,121.53844464204865,0.8926666666666666,ACCEPT,1.630421903511845,1.3597271193997011
2026-08-13 07:41:00,2026-08-13 07:51:00,SELL,122.571575045835,121.51209900738851,0.6563333333333334,ACCEPT,1.0594760384464905,0.864373357403872
2026-08-13 11:09:00,2026-08-13 11:19:00,BUY,124.11132678141549,124.7763760158535,0.7201428571428572,ACCEPT,0.6650492344380154,0.5358489443991669
2026-08-13 16:52:00,2026-08-13 17:02:00,BUY,120.84886390566736,121.73172804608512,0.6670119047619049,ACCEPT,0.882864140417766,0.7305522881099779
2026-08-13 17:19:00,2026-08-13 17:29:00,SELL,118.12235125995828,117.86962430780495,0.8090952380952381,ACCEPT,0.2527269521533242,0.21395354008585066
2026-08-13 18:51:00,2026-08-13 19:01:00,BUY,120.522341553393,121.99907648741296,0.8391785714285713,ACCEPT,1.4767349340199587,1.2252789939081505
2026-08-14 03:34:00,2026-08-14 03:44:00,BUY,119.9226657432894,120.82638639021462,0.6801785714285715,ACCEPT,0.9037206469252226,0.7535861893361828
2026-08-14 05:24:00,2026-08-14 05:34:00,BUY,119.44342298234147,120.55100201146804,0.7207261904761905,ACCEPT,1.107579029126569,0.9272833961651565
2026-08-14 13:15:00,2026-08-14 13:25:00,BUY,109.25807930019066,110.7592538122619,0.7255833333333334,ACCEPT,1.5011745120712447,1.3739711714560823
2026-08-14 15:52:00,2026-08-14 16:02:00,BUY,111.28704466291856,111.36717569530975,0.6415714285714285,ACCEPT,0.08013103239119346,0.07200391800672334
